id,group,question,predicted_intent,expected_intent,intent_correct,retrieved_docs,expected_doc,retrieval_hit_at_3,missing_fields,clarification_correct,tools,tool_correct,need_human,escalation_correct,redacted,redaction_correct,injection_blocked,injection_correct,latency_ms
A01,answerable,API Key 应该放在哪里？,PRODUCT_CONSULTATION,PRODUCT_CONSULTATION,True,kb-auth-401|kb-resource-404|kb-quickstart,kb-auth-401,True,,True,,True,False,True,API Key 应该放在哪里？,True,False,True,1.541
A02,answerable,为什么会返回 401？,API_ERROR,API_ERROR,True,kb-auth-401|kb-streaming|kb-quota,kb-auth-401,True,,True,query_error_code,True,False,True,为什么会返回 401？,True,False,True,0.219
A03,answerable,403 权限错误怎么处理？,API_ERROR,API_ERROR,True,kb-permission-403|kb-server-5xx|kb-auth-401,kb-permission-403,True,,True,query_error_code,True,False,True,403 权限错误怎么处理？,True,False,True,0.2
A04,answerable,400 参数错误需要检查什么？,API_ERROR,API_ERROR,True,kb-request-400|kb-context|kb-timeout,kb-request-400,True,,True,query_error_code,True,False,True,400 参数错误需要检查什么？,True,False,True,0.206
A05,answerable,429 的重试策略是什么？,QUOTA_BILLING,QUOTA_BILLING,True,kb-rate-limit-429|kb-permission-403|kb-streaming,kb-rate-limit-429,True,,True,query_error_code|query_account_quota,True,False,True,429 的重试策略是什么？,True,False,True,0.193
A06,answerable,如何查看账户 QPS 额度？,QUOTA_BILLING,QUOTA_BILLING,True,kb-quota|kb-rate-limit-429|kb-context,kb-quota,True,,True,query_account_quota,True,False,True,如何查看账户 QPS 额度？,True,False,True,0.211
A07,answerable,Token 成本应该记录哪些字段？,QUOTA_BILLING,QUOTA_BILLING,True,kb-billing|kb-sdk|kb-timeout,kb-billing,True,,True,query_account_quota,True,False,True,Token 成本应该记录哪些字段？,True,False,True,0.211
A08,answerable,Request ID 有什么用？,PRODUCT_CONSULTATION,PRODUCT_CONSULTATION,True,kb-request-id|kb-rag-citations|kb-data-security,kb-request-id,True,,True,,True,False,True,Request ID 有什么用？,True,False,True,0.163
A09,answerable,流式输出连接中断怎么处理？,OPERATION_GUIDE,OPERATION_GUIDE,True,kb-streaming|kb-quickstart|kb-auth-401,kb-streaming,True,,True,,True,False,True,流式输出连接中断怎么处理？,True,False,True,0.22
A10,answerable,知识库没有依据时应该怎么回答？,OPERATION_GUIDE,OPERATION_GUIDE,True,kb-rag-citations|kb-data-security|kb-resource-404,kb-rag-citations,True,,True,,True,False,True,知识库没有依据时应该怎么回答？,True,False,True,0.231
